ls_key,unit,type,statement
ch0-WRIT-sets,ch0,WRIT,I can describe sets using set builder notation.
ch0-COM-vecarith,ch0,COM,"I can perform algebraic arithmetic on vectors in a Euclidean vector space R^n (e.g., addition, scalar multiplication, norm, and dot product)."
ch0-VG-vecarith,ch0,VG,I can represent vectors arithmetic geometrically for vectors in R^2 and R^3.
ch0-COM-par,ch0,COM,I can decide whether given vectors are parallel.
ch0-COM-per,ch0,COM,I can decide whether given vectors are perpendicular.
ch0-COM-angle,ch0,COM,I can compute the angle between any two vectors.
ch0-CON-vecline,ch0,CON,I can represent a line in R^2 and R^3 in vector form.
ch0-CON-parline,ch0,CON,I can represent a line in R^2 and R^3 in parametric form.
ch0-VG-line,ch0,VG,"Given an algebraic description of a line in R^2 or R^3, I can visualize the line."
ch0-CON-plane,ch0,CON,I can represent a plane in R^3 given a normal vector and a point.
ch0-VG-plane,ch0,VG,"Given an algebraic description of a plane, I can visualize the plane."
ch1-COM-rref,ch1,COM,I can perform row reduction on any matrix and reduce it to REF and RREF.
ch1-CON-rref,ch1,CON,I can determine when a matrix is in REF or RREF form.
ch1-COM-augset,ch1,COM,"Given an augmented matrix of a linear system, I can find the general solution to the system."
ch1-COM-pslinsys,ch1,COM,"Given the general solution to a system of linear equations, I can find particular solutions."
ch1-CON-augsoltype,ch1,CON,"Given the REF of an augmented matrix, I can determine the type of solution set the system has (no solution, a unique solution, infinitely many solutions)."
ch1-CON-ranksoltype,ch1,CON,I can identify the solution type of a system based on information about the rank of its augmented and coefficient matrices.
ch1-VG-gslinsys,ch1,VG,"Given a system of linear equations in R^2 or R^3, I can visualize the system and its general solution."
ch1-VG-pslinsys,ch1,VG,"Given the matrix form A x = b where b is a vector in R^2 or R^3, I can visualize a particular solution for the system by writing b as a linear combination of the columns of A."
ch1-VG-lincom,ch1,VG,I can visualize the linear combination of vectors in R^2 and R^3.
ch1-CON-matlincom,ch1,CON,I can interpret matrix-vector multiplication in terms of a linear combination of the columns of the matrix.
ch1-CON-matdotprod,ch1,CON,I can interpret matrix-vector multiplication using dot products.
ch1-COM-matarith,ch1,COM,"I can add matrices of the same size, multiply a matrix by a scalar and I can multiply a matrix by a vector if the dimensions match up."
ch1-WRIT-gslinsys,ch1,WRIT,I can describe the general solution of a system parametrically and as a linear combination of vectors using correct mathematical notation.
ch1-WRIT-linsysnot,ch1,WRIT,I can describe a system in matrix-vector multiplication notation.
ch2-CON-domcodom,ch2,CON,"Given a linear transformation in any form, I can determine its domain and codomain."
ch2-CON-lintranscheck,ch2,CON,Given a function from R^m to R^n I can apply the definition of a linear transformation or the Matrices theorem to decide whether it is a linear map.
ch2-COM-standmat,ch2,COM,Given a linear transformation from R^m to R^n I can compute its standard matrix by computing the output of the standard vectors.
ch2-COM-lintransoutput,ch2,COM,Given a linear transformation T in any form I can find T(x) for any vector x.
